epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,12608.9,1.4194,0.9342,0.91389,0.81757,0.65829,0.72749,0.52851,1.42882,0.90289,0.92108,0.000114542,0.000114542,0.000114542
124,12706.4,1.44096,0.9448,0.91185,0.80147,0.66682,0.7267,0.52997,1.42176,0.89884,0.91946,0.000110662,0.000110662,0.000110662
125,12804.5,1.42838,0.93284,0.91465,0.80067,0.66436,0.72714,0.53668,1.40827,0.89323,0.91844,0.000106781,0.000106781,0.000106781
126,12903.9,1.4314,0.93746,0.90427,0.82084,0.66151,0.73099,0.53928,1.41037,0.88505,0.91795,0.0001029,0.0001029,0.0001029
127,13001.8,1.40586,0.91871,0.90585,0.81868,0.65764,0.73201,0.53489,1.41364,0.88898,0.91887,9.90192e-05,9.90192e-05,9.90192e-05
128,13100.3,1.41461,0.91834,0.90783,0.79167,0.67874,0.73801,0.54402,1.40761,0.88271,0.9164,9.51384e-05,9.51384e-05,9.51384e-05
129,13199.5,1.39965,0.91362,0.90653,0.80353,0.66603,0.73264,0.53818,1.41293,0.88645,0.91748,9.12576e-05,9.12576e-05,9.12576e-05
130,13300.7,1.41688,0.92208,0.91049,0.80519,0.66581,0.73191,0.53771,1.40605,0.88205,0.91656,8.73768e-05,8.73768e-05,8.73768e-05
131,13405.7,1.41922,0.92796,0.90738,0.83624,0.65587,0.73092,0.54076,1.39664,0.88049,0.91417,8.3496e-05,8.3496e-05,8.3496e-05
132,13509.2,1.41,0.91917,0.90636,0.84544,0.64222,0.7334,0.54061,1.39798,0.88379,0.91564,7.96152e-05,7.96152e-05,7.96152e-05
133,13611.9,1.3973,0.90808,0.90585,0.82294,0.65595,0.73116,0.54066,1.40577,0.87703,0.91618,7.57344e-05,7.57344e-05,7.57344e-05
134,13743.2,1.40839,0.91171,0.90833,0.77851,0.68711,0.7345,0.54155,1.39984,0.87688,0.91611,7.18536e-05,7.18536e-05,7.18536e-05
135,13873,1.41216,0.91529,0.90468,0.80953,0.66983,0.73533,0.54206,1.40343,0.87474,0.91621,6.79728e-05,6.79728e-05,6.79728e-05
136,13977.7,1.40499,0.91294,0.90658,0.81646,0.66695,0.73714,0.54485,1.40165,0.87364,0.91474,6.4092e-05,6.4092e-05,6.4092e-05
137,14080.2,1.41071,0.91163,0.90568,0.83553,0.66711,0.73888,0.54298,1.40582,0.87613,0.9151,6.02112e-05,6.02112e-05,6.02112e-05
138,14185.5,1.41153,0.9138,0.90364,0.7909,0.68993,0.73889,0.54519,1.39745,0.87523,0.91395,5.63304e-05,5.63304e-05,5.63304e-05
139,14287.8,1.39857,0.90472,0.90302,0.80824,0.67622,0.73842,0.54294,1.3995,0.87518,0.91444,5.24496e-05,5.24496e-05,5.24496e-05
140,14391.2,1.38792,0.89063,0.90353,0.7729,0.68747,0.73589,0.5401,1.4093,0.88073,0.916,4.85688e-05,4.85688e-05,4.85688e-05
141,14489.8,1.4234,0.9331,0.90971,0.81546,0.66007,0.72783,0.52999,1.41631,0.89618,0.91866,4.4688e-05,4.4688e-05,4.4688e-05
142,14588,1.38862,0.89817,0.89944,0.80127,0.66137,0.73104,0.5322,1.40836,0.89125,0.91688,4.08072e-05,4.08072e-05,4.08072e-05
143,14686.2,1.3897,0.89778,0.89948,0.76644,0.68532,0.7332,0.53599,1.40399,0.89421,0.91663,3.69264e-05,3.69264e-05,3.69264e-05
144,14783.5,1.39441,0.90083,0.90023,0.78166,0.68107,0.73313,0.53674,1.4109,0.89118,0.9171,3.30456e-05,3.30456e-05,3.30456e-05
145,14882.9,1.39611,0.89481,0.89874,0.79175,0.67466,0.73442,0.53911,1.40097,0.88709,0.91552,2.91648e-05,2.91648e-05,2.91648e-05
146,14979.5,1.38922,0.8932,0.90075,0.78294,0.68257,0.7363,0.54004,1.40463,0.88918,0.91584,2.5284e-05,2.5284e-05,2.5284e-05
147,15078.7,1.38494,0.89021,0.90057,0.78148,0.69061,0.73945,0.54248,1.40308,0.88664,0.91546,2.14032e-05,2.14032e-05,2.14032e-05
148,15176.5,1.38018,0.88349,0.8993,0.79304,0.67921,0.73708,0.54043,1.40567,0.88601,0.91532,1.75224e-05,1.75224e-05,1.75224e-05
149,15274.5,1.37462,0.87979,0.89797,0.78,0.68662,0.73454,0.53793,1.40721,0.88609,0.91572,1.36416e-05,1.36416e-05,1.36416e-05
150,15373.9,1.37085,0.87757,0.89813,0.78222,0.68449,0.73569,0.53983,1.40096,0.8832,0.91462,9.7608e-06,9.7608e-06,9.7608e-06
